"What breed of dog was Marley in the film ""Marley & Me"" (2008)?"|Labrador Retriever
The largest consumer market in 2015 was...|The United States of America
"What is ""dabbing""?"|A dance
Folic acid is the synthetic form of which vitamin?|Vitamin B
In what year did the First World War end?|1918
Who voices the infamous Citadel Station A.I known as S.H.O.D.A.N, in the System Shock games?|Terri Brosius
"How many ""JoJos"" that are protagonists are there in the series ""Jojo's Bizarre Adventure""?"|8
What is the chemical makeup of water?|H20
What is Gabe Newell's favorite class in Team Fortress 2?|Spy
What is the name of NASA’s most famous space telescope?|Hubble Space Telescope
How long is a light-year?|9.461 Trillion Kilometres
"Who created the pump ""F.L.U.D.D."" Mario uses in Super Mario Sunshine?"|Elvin Gadd
A positron is an antiparticle of a what?|Electron
"Who wrote the children's story ""The Little Match Girl""?"|Hans Christian Andersen
In the Kingdom Hearts series, which is not an optional boss you can fight?|Master Yen Sid
What is the scientific name of the knee cap?|Patella
When was Minecraft first released to the public?|May 17th, 2009
Where was Kanye West born?|Atlanta, Georgia
Which one of these paintings is not by Caspar David Friedrich?|The Black Sea
"Who in Pulp Fiction says ""No, they got the metric system there, they wouldn't know what the fuck a Quarter Pounder is."""|Vincent Vega
Which of the following is not a character in the Street Fighter series?|Mai Shiranui
"In which mall does ""Dead Rising"" take place?"|Willamette Parkview Mall
"Which former boy-band star released hit solo single ""Angels"" in 1997?"|Robbie Williams
Which water-type Pokémon starter was introduced in the 4th generation of the series?|Piplup
Which ocean borders the west coast of the United States?|Pacific
Which US state has the highest population?|California
"In the ADV (English) Dub of the anime ""Ghost Stories"", which character is portrayed as a Pentacostal Christian?"|Momoko Koigakubo
Which music publication is often abbreviated to NME?|New Musical Express
Cesar Romero played which iconic Batman villain from the 1960's TV show?|The Joker
Which sign of the zodiac is represented by the Crab?|Cancer
Bridgetown is the capital of which island country in the Carribean?|Barbados
"Who played the Waitress in the Spam sketch of ""Monty Python's Flying Circus""?"|Terry Jones
In which state of America was the Fresh Prince of Bel-Air born and raised in?|Pennsylvania
Which actress danced the twist with John Travolta in 'Pulp Fiction'?|Uma Thurman
What are the names of the Ice Climbers in the video game Ice Climber?|Popo and Nana
What song originally performed by The Bee Gees in 1978 had a cover version by Steps 20 years later?|Tragedy
Laserjet and inkjet printers are both examples of what type of printer?|Non-impact printer
All of the following programs are classified as raster graphics editors EXCEPT:|Inkscape
What does the yellow diamond on the NFPA 704 fire diamond represent?|Reactivity
"What's the name of the main protagonist in the ""Legend of Zelda"" franchise?"|Link
"Frankenmuth, a US city nicknamed ""Little Bavaria"", is located in what state?"|Michigan
The core of the Sun can reach which temperature?|27° Million F (15° Million C)
Which country has the most Trappist breweries?|Belgium
"Which band recorded the album ""Parallel Lines""?"|Blondie
Which of the following is NOT a real element?|Vitrainium
Which of these cities is NOT in England?|Edinburgh
"Which franchise was NOT featured in the 2015 video game ""Lego Dimensions""?"|Breaking Bad
"Madonna's song ""Hung Up"" includes a piece from which popular 70s song?"|Gimmie! Gimmie! Gimme! (A Man After Midnight)
What is the last name of the primary female protagonist of Final Fantasy VIII?|Heartilly
"In ""Inuyasha"", what are the heros are looking to collect?"|Jewel Shards
"In the ""Jurassic Park"" universe, what was the first dinosaur cloned by InGen in 1986?"|Velociraptor
Who is the lead singer of the Smashing Pumpkins?|Billy Corgan
"In the ""Harry Potter"" novels, what must a Hogwarts student do to enter the Ravenclaw Common Room?"|Answer a riddle
In the Overlord Anime who was Cocytus made by?|Warrior Takemikazuchi
What is the first Mersenne prime over 1000?|1279
What is the derivative of Acceleration with respect to time?|Jerk
"Which of these songs is not on the ""untitled"" album by Led Zeppelin?"|Celebration Day
Which country is the home of the largest Japanese population outside of Japan?|Brazil
"In the game ""Cave Story,"" what is the character Balrog's catchphrase?"|Huzzah!
"What is the name of the ""Flash"" and ""Arrow"" spinoff featuring a team of characters that have appeared on both shows?"|Legends of Tomorrow
"Which one of these songs did the group ""Men At Work"" NOT make?"|Safety Dance
What was the transfer of disease, crops, and people across the Atlantic shortly after the discovery of the Americas called?|The Columbian Exchange
Which country was an allied power in World War II?|Soviet Union
"Which song in rapper Kanye West's album ""The Life of Pablo"" features Rihanna?"|Famous
"Which band had hits in 1972 with the songs ""Baby I'm A Want You"", ""Everything I Own"" and ""The Guitar Man"""|Bread
What does the acronym CDN stand for in terms of networking?|Content Delivery Network
Which of these countries was sea charted in 1500 by the Portuguese maritime explorations?|Brazil
"In ""Final Fantasy VI"", what is the name of (summoned) Gilgamesh's weakest attack?"|Excalipoor
What was the name of the first Robin in the Batman comics?|Dick Grayson
Which of the following is the world's best-selling book?|The Lord of the Rings
"Who was the first ever actor to play ""The Doctor"" on ""Doctor Who""?"|William Hartnell
Which one of these chassis codes are used by BMW 3-series?|E46
"In ""Hexadecimal"", what color would be displayed from the color code? ""#00FF00""?"|Green
Which of the following Elite Four members from the 6th Generation of Pokémon was a member of Team Flare?|Malva
Who painted the Sistine Chapel?|Michelangelo
What did the first moving picture depict?|A galloping horse
What is the capital of Indonesia?|Jakarta
"What name does the little headcrab in ""Half Life 2"" have?"|Lamarr
"In which year did the British television series ""The Bill"" end?"|2010
When did the French Revolution begin?|1789
In the anime Seven Deadly Sins what is the name of one of the sins?|Diane
Where is Apple Inc. headquartered?|Cupertino, California
"In the ""Jurassic Park"" universe, what is the name of the island that contains InGen's Site B?"|Isla Sorna
The starting pistol of the Terrorist team in a competitive match of Counter Strike: Global Offensive is what?|Glock-18
What is the best selling album of all time from 1976 to 2018?|Thriller
Which of these songs is not by Tatsuro Yamashita?|Lucky Lady Feel So Good 
Which of these is NOT one of Donald Trump's children?|Julius
"Kanye West's ""Gold Digger"" featured which Oscar-winning actor?"|Jamie Foxx
"In ""Call Of Duty: Zombies"", which map introduced the perk ""PhD Flopper""?"|Ascension
Which one of the following titles by Valve is not based on a Community Mod?|Ricochet
What is Doug Walker's YouTube name?|The Nostalgia Critic
Who was the villain of ''The Lion King''?|Scar
"In the ""S.T.A.L.K.E.R."" series, which of these items can't be used to lower the player's accumulated radiation?"|Radioprotectant
"Who was given the title ""Full Metal"" in the anime series ""Full Metal Alchemist""?"|Edward Elric
What is the British term for a 64th note?|Hemidemisemiquaver
"Which pop singer was brought in by SEGA to produce the music for ""Sonic the Hedgehog 3""?"|Michael Jackson 
Who are the original creators of Rachet & Clank?|Insomniac Games
"What is the last line muttered in the anime film ""The End of Evangelion""?"|"""How disgusting."""
"Which song on Daft Punk's ""Random Access Memories"" features Pharrell Williams?"|Get Lucky
How many bytes are in a single Kibibyte?|1024
In June 2017, Saudi Arabia and Egypt broke off ties with which country over its supposed support for terrorism?|Qatar
Which of the following superheros did Wonder Woman NOT have a love interest in?|Green Arrow
In a standard set of playing cards, which is the only king without a moustache?|Hearts
Painter Piet Mondrian (1872 - 1944) was a part of what movement?|Neoplasticism
In The Lord of the Rings: The Fellowship of the Ring, which one of the following characters from the book was left out of the film?|Tom Bombadil
"In ""The Simpsons"", where did Homer and Marge first meet?"|At Summer Camp
"The Singing Cowboy"" Gene Autry is credited with the first recording for all but which classic Christmas jingle?"|White Christmas
Who is Sonic's sidekick?|Tails
Which of the following has Jennifer Taylor NOT voiced?|Sarah Kerrigan
"Whose albums included ""Back in Black"" and ""Ballbreaker""?"|AC/DC
In baseball, how many fouls are an out?|0
Who was the Prime Minister of the United Kingdom for most of World War II?|Winston Churchill
Which of the following was NOT a playable character in the game Kingdom Hearts: Birth by Sleep?|Ignis
What stage of development do the majority of eukaryotic cells remain in for most of their life?|Interphase
"In which Shakespeare play does the character Marcellus say, ""Something is rotten in the state of Denmark""?"|Hamlet
"How many times do you fight Gilgamesh in ""Final Fantasy 5""?"|6
The most graphically violent game to precede the creation of the ESRB (Entertainment Software Rating Board) was...|Mortal Kombat
"In ""Toriko"", which of the following Heavenly Kings has an enhanced sense of Hearing?"|Zebra
"In the book ""The Martian"", how long was Mark Watney trapped on Mars (in Sols)?"|549 Days
"Doctor Who"" star David Tennant performed in a rendition of which Shakespearean play?"|Hamlet
In the game Battleblock Theater, what was the name of the voice actor who voiced the narrator?|Will Stamper
"What is the name of the villian in the 2015 Russian-American Sci-Fi Movie ""Hardcore Henry""?"|Akan
What is the name of the family that the domestic cat is a member of?|Felidae
What was the real name of the Albanian national leader Skanderbeg?|Gjergj Kastrioti
"Who voices the character ""Vernon Cherry"" in ""Red Dead Redemption""?"|Casey Mongillo
"From which album is the Gorillaz song, ""On Melancholy Hill"" featured in?"|Plastic Beach
Under what pseudonym did Stephen King publish five novels between 1977 and 1984?|Richard Bachman
When did Canada leave the confederation to become their own nation?|July 1st, 1867
What is the standard atomic weight of a Plutonium nucleus?|244
In DuckTales, what is the name of the city where all the main characters live?|Duckburg
What year did Gerald Ford Become President?|1974
In the hexadecimal system, what number comes after 9?|The Letter A
Who is the protagonist in Dead Rising (2006)?|Frank West
Which animated film did Steven Lisberger direct in 1980 before going on to direct Tron?|Animalympics
In the Portal series of games, who was the founder of Aperture Science?|Cave Johnson
Amsterdam Centraal station is twinned with what station?|London Liverpool Street
In golf, what name is given to a hole score of two under par?|Eagle
Which small country is located between the borders of France and Spain?|Andorra
"Where are the cars of the brand ""Ferrari"" manufactured?"|Italy
"Who voices Max Payne in the 2001 game ""Max Payne""?"|James McCaffrey
What was Ash Ketchum's second Pokemon?|Caterpie
"According to their 1974 hit, what were Brownsville Station doing ""In The Boys' Room""?"|Smokin'
What is the name of Team Fortress 2's Heavy Weapons Guy's minigun?|Sasha
"Nikki Diamond portrayed which Gladiator in the 1992 TV show ""Gladiators""?"|Scorpio
What mineral has the lowest number on the Mohs scale?|Talc
What year did the New Orleans Saints win the Super Bowl?|2009
What is the name the location-based augmented reality game developed by Niantic before Pokémon GO?|Ingress
Which element has the atomic number of 7?|Nitrogen
What was the name of the the first episode of Doctor Who to air in 1963?|An Unearthly Child
Which one of these cartoon characters is NOT voiced by Rob Paulsen?|Max Tennyson (Ben 10)
"In ""JoJo's Bizarre Adventure"", which of the following Stands does NOT have a time-based ability?"|20th Century Boy
In what Homestuck Update was [S] Game Over released?|October 25th, 2014
Which of the following battles is often considered as marking the beginning of the fall of the Western Roman Empire?|Battle of Adrianople
What year did the Battle of Agincourt take place?|1415
Which animal features on the logo for Abarth, the motorsport division of Fiat?|Scorpion
"What is the romanized Japanese word for ""university""?"|Daigaku
"What are the first 6 digits of the number ""Pi""?"|3.14159
Which of these countries was NOT a part of the Soviet Union?|Afghanistan
"What does TIE stand for in reference to the TIE Fighter in ""Star Wars""?"|Twin Ion Engine
"The book ""Fahrenheit 451"" was written by whom?"|Ray Bradbury
Before the American colonies switched to the Gregorian calendar in 1752, on what date did their new year start?|March 25th
Which of these is NOT a car model produced by Malaysian car manufacturer Proton?|Kelisa
"Which musician has collaborated with American producer Porter Robinson and released the 2016 song ""Shelter""?"|Madeon
"Which slogan did the fast food company, McDonald's, use before their ""I'm Lovin' It"" slogan?"|We Love to See You Smile
In Ms. Kobayashi's Dragon Maid, who is Kobayashi's maid?|Tohru
"What is the name of the currency in the ""Animal Crossing"" series?"|Bells
"Which character does the player play as in the video game ""Bastion""?"|The Kid
"In ""Sonic the Hedgehog 2"" for the Sega Genesis, what do you input in the sound test screen to access the secret level select?"|The Lead Programmer's birthday
Which English football club has the nickname 'The Foxes'?|Leicester City
What national museum will you find in Cooperstown, New York?|National Baseball Hall of Fame
Who out of these actresses is the youngest?|Kiernan Shipka
"Which Elton John hit starts with the line ""When are you gonna come down""?"|Goodbye Yellow Brick Road
"In Telltale Games' ""The Walking Dead: Season One"" what is the name of Clementine's father?"|Ed
Who built the first laser?|Theodore Harold Maiman
What was Radiohead's first album?|Pablo Honey
In Mulan (1998), who is the leader of the Huns?|Shan Yu
"What is the name of the planet that the Doctor from television series ""Doctor Who"" comes from?"|Gallifrey
"Who wrote the young adult novel ""The Fault in Our Stars""?"|John Green
What does RAID stand for?|Redundant Array of Independent Disks
What was the name of singer Frank Ocean's second studio album, which was released on August 20, 2016?|Blonde
"Which of these songs is NOT in The Beatles' album ""Sgt. Pepper's Lonely Hearts Club Band""?"|Strawberry Fields Forever
What was the first Android version specifically optimized for tablets?|Honeycomb
The new One World Trade Center in Manhattan, New York City was designed by which architect? |David Childs
"Which song was the callsign for Stefan Verdemann's KWFM radio station in Urasawa Naoki's ""Monster""?"|Over the Rainbow
"Which actress portrayed Dr. Grace Augustine in the James Cameron movie ""Avatar""?"|Sigourney Weaver
"In ""Call Of Duty: Zombies"", ""Richtofen"" is in possession of two filled blood vials belonging to who?"|Sal DeLuca and Finn O'Leary
What common name is given to the medial condition, tibial stress syndrome (MTSS)?|Shin Splints
"In AMC's TV Series ""The Walking Dead"" what are ""Zombies"" referred to as?"|Walkers
"Which stage was planned to be a part of ""Sonic the Hedgehog 2"", but was scrapped during development?"|Genocide City Zone
"Which member of ""The Beatles"" narrated episodes of ""Thomas the Tank Engine""?"|Ringo Starr
Which fictional English county was the setting for Thomas Hardy's novels?|Wessex
Which of the following is the longest river in Europe?|Volga
"Which artist or group did John Lennon consider ""son(s) of the Beatles""?"|Jeff Lynne's Electric Light Orchestra
Which one of these games wasn't released in 2016?|Metal Gear Solid V
When was Steam first released?|2003
What scientific family does the Aardwolf belong to?|Hyaenidae
In which year did the First World War begin?|1914
The ancient city of Chichén Itzá was built by which civilization?|Mayans
"Which car is NOT featured in ""Need for Speed: Hot Pursuit 2""?"|Toyota MR2
Which of the following is not a studio album by the band Pink Floyd?|Moving Pictures
Which Elite Four member from the first generation of Pokémon became the champion in the next generation?|Lance
"Which song by Swedish electronic musician Avicii samples the song ""Something's Got A Hold On Me"" by Etta James?"|Levels
"In what year was the first ""Mass Effect"" game released?"|2007
In the 9th Pokemon movie, who is the Prince of the Sea?|Manaphy
Moore's law originally stated that the number of transistors on a microprocessor chip would double every...|Year
"For the film ""Raiders of The Lost Ark"", what was Harrison Ford sick with during the filming of the Cairo chase?"|Dysentery
"In ""Rick and Morty"", from which dimension do Rick and Morty originate from?"|C-137
"In ""Sonic the Hedgehog"" comic, who was the creator of Roboticizer? "|Professor Charles the Hedgehog
When was Left 4 Dead 2 released?|November 17, 2009
What is the real name of the famous spanish humorist, El Risitas?|Juan Joya Borga
Abel Magwitch is a character from which Charles Dickens novel?|Great Expectations
"Before the 19th Century, the ""Living Room"" was originally called the..."|Parlor
In which year was League of Legends released?|2009
The LS7 engine is how many cubic inches?|427
"In the ""Harry Potter"" series, what is Headmaster Dumbledore's full name?"|Albus Percival Wulfric Brian Dumbledore
Which of the following is the oldest of these computers by release date?|TRS-80
"What was the religion of famous singer ""Freddie Mercury""?"|Zoroastrianism
"In ""Kingdom Hearts"", what mission are Donald and Goofy assigned by King Mickey?"|To find the Key bearer and stick with him!
Which character does voice actress Tara Strong NOT voice?|Bubbles (2016)
What is the subtitle for Gran Turismo 3?|A-Spec
Who was the voice actor for Snake in Metal Gear Solid V: The Phantom Pain?|Kiefer Sutherland
"The novel ""Jane Eyre"" was written by what author? "|Charlotte Brontë
A stimpmeter measures the speed of a ball over what surface?|Golf Putting Green
"What is the name of the device that allows for infinite energy in the anime ""Dimension W""?"|Coils
Which company did the animation for Peter Gabriel's Video Sledgehammer (1986)?|Aardman Animations
What does the International System of Quantities refer 1024 bytes as?|Kibibyte
"What was the original name of the search engine ""Google""?"|BackRub
"Which singer provided the voice of Metroid's Mother Brain in the animated series ""Captain N: The Game Master""?"|Levi Stubbs
"Who is the villain company in ""Stardew Valley""?"|Joja Co 
"In ""One Piece"", who confirms the existence of the legendary treasure, One Piece?"|"Edward ""Whitebeard"" Newgate"
"Which show is known for the songs ""You are a Pirate"", ""Cooking by the Book"" and ""We Are Number One""?"|LazyTown
Which noble gas has the lowest atomic number?|Helium
What is the surname of the character Daryl in AMC's show The Walking Dead?|Dixon
What does LASER stand for?|Light amplifiaction by stimulated eminission of radioation
Which of the following countries is within the Eurozone but outside of the Schengen Area?|Cyprus
Disney's Haunted Mansion is home to a trio of Hitchhiking Ghosts. Which of these is NOT one of them?|Harry
Which one of these Pink Floyd albums were also a movie?|The Wall
Which of these is NOT an album released by The Beatles?|The Wall
Which brass instrument has the lowest pitch in an orchestra?|Tuba
.rs is the top-level domain for what country?|Serbia
"Which group performs the song ""Crash into Me""?"|Dave Matthews Band
How many officially recognized dwarf planets in the solar system are named after Polynesian deities?|2
"Who had a 1981 hit with the song ""Japanese Boy""?"|Aneka
What was the name of the first MMORPG to popularize the genre?|Ultima Online
"Which country had an ""Orange Revolution"" between 2004 and 2005?"|Ukraine
"What was the game ""Galaga"" was a sequel to?"|Galaxian
What was the title of ABBA`s first UK hit single?|Waterloo
"In ""Breaking Bad"", Walter White is a high school teacher diagnosed with which form of cancer?"|Lung Cancer
"In the game ""Subnautica"", which feature was removed due to performance issues in 2016?"|Terraforming
How many plays is Shakespeare generally considered to have written?|37
The human heart has how many chambers?|4
In which country is Tallinn located?|Estonia
"What year was Red Hot Chill Pepper's album ""Californication"" released?"|1999
Which of the following is not another name for the eggplant?|Potimarron
Which of the following Ivy League universities has its official motto in Hebrew as well as in Latin?|Yale University
Who was the only president to not be in office in Washington D.C?|George Washington
What do the letters in the GMT time zone stand for?|Greenwich Mean Time
What caused the titular mascot of Yo-Kai Watch, Jibanyan, to become a yokai?|Being run over by a truck
Which boxer was famous for striking the gong in the introduction to J. Arthur Rank films?|Bombardier Billy Wells
Which of these cities has a 4° East longitude. |Amsterdam
What is the name of a rabbit's abode?|Burrow
"Who was not in the band ""The Smiths""?"|Martin Chambers
The humerus, paired radius, and ulna come together to form what joint?|Elbow
"In what year was the movie ""Police Academy"" released?"|1984
Which country is singer Kyary Pamyu Pamyu from?|Japan
"What is the name of the popular animatronic singing fish prop, singing such hits such as ""Don't Worry, Be Happy""?"|Big Mouth Billy Bass
"Who played Stan's dog in the South Park episode ""Big Gay Al's Big Gay Boat Ride""?"|George Clooney
How many members are there in the band Nirvana?|Three
"In the film ""Interstellar"", how long did they spend on Miller's planet?"|23 years, 4 months, and 8 days
Which of the following is NOT a Russian car manufacturer?|BYD
"The cake depicted in Valve's ""Portal"" franchise most closely resembles which real-world type of cake?"|Black Forest
Who discovered Penicillin?|Alexander Flemming
"In the 1993 Disney animated series ""Bonkers"", what is the name of Bonker's second partner?"|Miranda Wright
"What is ""Stenoma""?"|A genus of moths
What was Bank of America originally established as?|Bank of Italy
Approximately how long is a year on Uranus?|84 Earth years
What is the scientific name of the cheetah?|Acinonyx jubatus
Which of these is NOT the name of an album released by English singer-songwriter Adele?|12
